period_m,year,month,quarter,flow,province,country,description,hs2,hs4,hs6,hs8,hs10,section,section_name,chapter_name,value,quantity,uom_text,uom_code,uom_status,has_quantity,is_ch98,is_suppressed,is_outlier,median_value_hs8,lower_bound_hs8,upper_bound_hs8
2025-01,2025,1,1,Import,Newfoundland and Labrador,Brazil,"Plates, sheets and strip, of vulcanized cellular rubber, o/t hard rubber",00,0000,000000,00000040,0000004008,,,,173,10,Weight in kilograms,KGM,OK,True,False,False,False,1135.0,0.0,24358.0
2024-02,2024,2,1,Import,Newfoundland and Labrador,Brazil,"Other AC motors, multi-phase, of an output exceeding 1875 kW",00,0000,000000,00000085,0000008501,,,,2558388,2,Number,NMB,OK,True,False,False,True,1864.5,0.0,34311.0
2025-03,2025,3,1,Import,Newfoundland and Labrador,Brazil,"Parts, of hand tools, nes",00,0000,000000,00000084,0000008467,,,,46,0,Blank,BLANK,OK,False,False,False,False,3527.0,0.0,54860.0
2025-10,2025,10,4,Import,Newfoundland and Labrador,Brazil,"Screws, whether/not with their nuts or washers, threaded, of iron/steel",00,0000,000000,00000073,0000007318,,,,8,0,Weight in kilograms,KGM,Error,True,False,False,False,731.0,0.0,11567.0
2025-11,2025,11,4,Import,Newfoundland and Labrador,Brazil,"Other AC motors, single-phase, power >750 W but <=3730 W",00,0000,000000,00000085,0000008501,,,,1209,1,Number,NMB,OK,True,False,False,False,1864.5,0.0,34311.0
2024-01,2024,1,1,Import,Nova Scotia,Brazil,"Bovine cuts, boneless, o/t veal/processed, frozen, within access commitment, nes",00,0000,000000,00000002,0000000202,,,,308144,49957,Weight in kilograms,KGM,OK,True,False,False,False,270200.0,0.0,2002886.0
2024-11,2024,11,4,Import,Nova Scotia,Brazil,"Kaolin and other kaolinic clays, w/n calcined",00,0000,000000,00000025,0000002507,,,,1232677,8077863,Weight in kilograms,KGM,OK,True,False,False,True,5035.5,0.0,90339.25
2024-12,2024,12,4,Import,Nova Scotia,Brazil,"Wings,tips,pts t/o,of fowl Gallus domesticus,frozen,nes,within access commitment",00,0000,000000,00000002,0000000207,,,,202186,50921,Weight in kilograms,KGM,OK,True,False,False,False,270200.0,0.0,2002886.0
2025-02,2025,2,1,Import,Nova Scotia,Brazil,"Sea fish, nes, frozen,o/t fish of No 03.04,o/t fish offal of Nos 0303.91-0303.99",00,0000,000000,00000003,0000000303,,,,371569,21400,Weight in kilograms,KGM,OK,True,False,False,True,12164.5,0.0,136548.75
2024-05,2024,5,2,Import,Nova Scotia,Brazil,"Dog or cat food, nes, put up for retail sale",00,0000,000000,00000023,0000002309,,,,483937,13304,Weight in kilograms,KGM,OK,True,False,False,True,21037.0,0.0,236451.75
2025-04,2025,4,2,Import,Nova Scotia,Brazil,"Fruit/nuts/edible plant parts,o/w prep/presvd,w/n sug/sweet/spirit,nes,not pufrs",00,0000,000000,00000020,0000002008,,,,207619,131150,Weight in kilograms,KGM,OK,True,False,False,True,5519.0,0.0,201426.75
2025-10,2025,10,4,Import,Nova Scotia,Brazil,"Refined sugar, nes, in solid form",00,0000,000000,00000017,0000001701,,,,69141,50,Weight in metric tonne,TNE,OK,True,False,False,False,8149.0,0.0,368605.5
2024-07,2024,7,3,Import,Nova Scotia,Brazil,"Paints,incl enamels, based on syn/chem mod poly,nes,dspr in a non-aqueous medium",00,0000,000000,00000032,0000003208,,,,99131,1070,Volume in litres,LTR,OK,True,False,False,True,1939.0,0.0,27382.375
2025-09,2025,9,3,Import,Nova Scotia,Brazil,"Other articles of plastics having specific uses, nes",00,0000,000000,00000039,0000003926,,,,5976,0,Blank,BLANK,OK,False,False,False,False,1661.0,0.0,69333.625
2024-04,2024,4,2,Import,Nova Scotia,Brazil,"Bushings,of vulcanized rubber,o/t hard/cellular rbr,f automotive goods of Ch 87",00,0000,000000,00000040,0000004016,,,,187,0,Blank,BLANK,OK,False,False,False,False,1135.0,0.0,24358.0
2024-08,2024,8,3,Import,Nova Scotia,Brazil,"Leather,bov/equ,nes,sides,grain splits,parch-dress,prep a tan/crustg,w/o hair on",00,0000,000000,00000041,0000004107,,,,35014,643,Area in square metres,MTK,OK,True,False,False,False,4328.0,0.0,54854.25
2024-08,2024,8,3,Import,Nova Scotia,Brazil,"Articles of plastics and articles of other materials of Nos 39.01 to 39.14, nes",00,0000,000000,00000039,0000003926,,,,3041,0,Blank,BLANK,OK,False,False,False,False,1661.0,0.0,69333.625
2024-08,2024,8,3,Import,Nova Scotia,Brazil,"Other seals, of vulcanized rubber, o/t hard rubber, o/t oil seals, nes",00,0000,000000,00000040,0000004016,,,,12,0,Blank,BLANK,OK,False,False,False,False,1135.0,0.0,24358.0
2024-09,2024,9,3,Import,Nova Scotia,Brazil,"Leather,bov/equ,nes,sides,grain splits,parch-dress,prep a tan/crustg,w/o hair on",00,0000,000000,00000041,0000004107,,,,190991,6776,Area in square metres,MTK,OK,True,False,False,True,4328.0,0.0,54854.25
2024-12,2024,12,4,Import,Nova Scotia,Brazil,"Leather,bov/equ,nes,sides,grain splits,parch-dress,prep a tan/crustg,w/o hair on",00,0000,000000,00000041,0000004107,,,,22491,355,Area in square metres,MTK,OK,True,False,False,False,4328.0,0.0,54854.25
2025-01,2025,1,1,Import,Nova Scotia,Brazil,"Leather,bov/equ,nes,sides,grain splits,parch-dress,prep a tan/crustg,w/o hair on",00,0000,000000,00000041,0000004107,,,,134568,5528,Area in square metres,MTK,OK,True,False,False,True,4328.0,0.0,54854.25
2025-09,2025,9,3,Import,Nova Scotia,Brazil,"Doors, of wood, o/t of tropical wood, nes",00,0000,000000,00000044,0000004418,,,,86193,1344,Number,NMB,OK,True,False,False,False,10365.0,0.0,153842.0
2024-07,2024,7,3,Import,Nova Scotia,Brazil,"Frames and thresholds, for doors, of wood, o/t of tropical wood",00,0000,000000,00000044,0000004418,,,,4191,320,Number,NMB,OK,True,False,False,False,10365.0,0.0,153842.0
2025-08,2025,8,3,Import,Nova Scotia,Brazil,"Builder's joinery and carpentry, of wood, o/t bamboo, nes",00,0000,000000,00000044,0000004418,,,,7595,0,Blank,BLANK,OK,False,False,False,False,10365.0,0.0,153842.0
2025-12,2025,12,4,Import,Nova Scotia,Brazil,"Paper & paperboard,kraftliner,unctd,unbleached,in rolls/sht,o/t No 48.02/48.03",00,0000,000000,00000048,0000004804,,,,59877,73,Weight in metric tonne,TNE,OK,True,False,False,False,7465.5,0.0,175810.125
