Domestic exports
Period,Commodity,Province,Country,State,Value ($),Quantity,Unit of measure
2024-01-01,"4801.00.00 - Newsprint, in rolls or sheets",Newfoundland and Labrador,"Brazil",N/A,355448,465,Weight in metric tonne
2024-09-01,"4801.00.00 - Newsprint, in rolls or sheets",Newfoundland and Labrador,"Brazil",N/A,425100,552,Weight in metric tonne
2024-08-01,"7502.10.00 - Nickel, not alloyed",Newfoundland and Labrador,"Brazil",N/A,649040,24000,Weight in kilograms
2025-01-01,"7502.10.00 - Nickel, not alloyed",Newfoundland and Labrador,"Brazil",N/A,2441354,96000,Weight in kilograms
2025-11-01,"8471.41.00 - Other adpm,with at least cpu, input and output units, o/t portable",Newfoundland and Labrador,"Brazil",N/A,10143,0,Blank
2025-11-01,"8471.50.00 - Process units o/t 8471.41/.49, w/n cont in same hsng: storage/input/output units",Newfoundland and Labrador,"Brazil",N/A,4493,0,Blank
2025-03-01,"2933.59.00 - Heterocyclic compd,w nitr hetero-atoms,cont pyrimidine/piperazine rng struct,nes",Prince Edward Island,"Brazil",N/A,345,0,Weight in kilograms
2024-03-01,"3822.19.00 - Diag/lab reagents backing,prep diag/lab reagents w/n backing,w/n in form kit,nes",Prince Edward Island,"Brazil",N/A,39046,0,Blank
2025-07-01,"3822.19.00 - Diag/lab reagents backing,prep diag/lab reagents w/n backing,w/n in form kit,nes",Prince Edward Island,"Brazil",N/A,61883,0,Blank
2025-12-01,"3822.19.00 - Diag/lab reagents backing,prep diag/lab reagents w/n backing,w/n in form kit,nes",Prince Edward Island,"Brazil",N/A,29812,0,Blank
2024-10-01,"8438.60.00 - Machinery for the preparation of fruits, nuts or vegetables",Prince Edward Island,"Brazil",N/A,30749,0,Blank
2025-06-01,"0307.72.19 - Clams, o/t Stimson's, frozen, whether in shell or not",Nova Scotia,"Brazil",N/A,12307,500,Weight in kilograms
2024-04-01,"2106.90.90 - Food preparations, nes",Nova Scotia,"Brazil",N/A,1199134,50350,Weight in kilograms
2024-09-01,"2106.90.90 - Food preparations, nes",Nova Scotia,"Brazil",N/A,12821,1008,Weight in kilograms
2025-05-01,"2106.90.90 - Food preparations, nes",Nova Scotia,"Brazil",N/A,780683,35910,Weight in kilograms
2025-06-01,"2106.90.90 - Food preparations, nes",Nova Scotia,"Brazil",N/A,100397,2280,Weight in kilograms
2024-05-01,"3002.12.00 - Antisera & other blood fractions, w/n modified/obtained by biotechnological proc",Nova Scotia,"Brazil",N/A,1169,500,Weight in kilograms
2024-06-01,"3101.00.00 - Animal or vegetable fertilizers, in packages weighing more than 10 kg",Nova Scotia,"Brazil",N/A,830000,97647,Weight in kilograms
2024-11-01,"3101.00.00 - Animal or vegetable fertilizers, in packages weighing more than 10 kg",Nova Scotia,"Brazil",N/A,301900,49680,Weight in kilograms
2025-12-01,"3101.00.00 - Animal or vegetable fertilizers, in packages weighing more than 10 kg",Nova Scotia,"Brazil",N/A,1524267,190062,Weight in kilograms
2024-02-01,"3105.10.00 - Fertilizers, in tablets or similar forms, or in packages not exceeding 10 kg",Nova Scotia,"Brazil",N/A,346754,74674,Weight in kilograms
2025-08-01,"3822.13.00 - Blood-grouping,diagnostic or laboratory reagents w/n backing,w/n in form of kits",Nova Scotia,"Brazil",N/A,34922,0,Blank
2024-09-01,"3822.19.00 - Diag/lab reagents backing,prep diag/lab reagents w/n backing,w/n in form kit,nes",Nova Scotia,"Brazil",N/A,246,0,Blank
2024-02-01,"4010.39.00 - Transmission belts, belting of vulcanized rubber, nes",Nova Scotia,"Brazil",N/A,230248,0,Blank
2024-08-01,"4010.39.00 - Transmission belts, belting of vulcanized rubber, nes",Nova Scotia,"Brazil",N/A,7501,0,Blank
2024-12-01,"4010.39.00 - Transmission belts, belting of vulcanized rubber, nes",Nova Scotia,"Brazil",N/A,71516,0,Blank
2025-02-01,"4011.80.00 - Pneumatic tires,new,of rubber,f const/mining/industrial handling vehicles & mach",Nova Scotia,"Brazil",N/A,418499,126,Number
2024-10-01,"4016.99.00 - Articles of vulcanized rubber, nes, other than hard rubber",Nova Scotia,"Brazil",N/A,35383,0,Blank
